customer_ref,source_industry,churn,tenure_score,gender,engagement_score,monetary_value,product_or_service_count,support_friction,is_active
ecom_00001,ecommerce,1,0.0655737704918032,0,0.6,0.4921074494599834,3,1,0
ecom_00002,ecommerce,1,0.1475409836065573,1,0.6,0.3720114465060463,4,1,0
ecom_00003,ecommerce,1,0.1475409836065573,1,0.4,0.370103695498323,4,1,0
ecom_00004,ecommerce,1,0.0,1,0.4,0.4125357703313947,4,0,0
ecom_00005,ecommerce,1,0.0,1,0.6,0.3987815009692605,3,0,0
ecom_00006,ecommerce,1,0.0,0,0.6,0.4282901012338841,5,1,0
ecom_00007,ecommerce,1,0.1475409836065573,1,0.4,0.3718883657958707,3,0,0
ecom_00008,ecommerce,1,0.1475409836065573,1,0.6,0.378257792547463,3,1,0
ecom_00009,ecommerce,1,0.2131147540983606,1,0.6,0.3902581617895935,4,1,0
ecom_00010,ecommerce,1,0.1475409836065573,1,0.4,0.378257792547463,5,0,0
ecom_00011,ecommerce,1,0.0655737704918032,0,0.4,0.9091048955352472,3,0,0
ecom_00012,ecommerce,1,0.180327868852459,1,0.6,0.4732761008031016,4,1,0
ecom_00013,ecommerce,1,0.0,1,0.4,0.4135819563678882,3,1,0
ecom_00014,ecommerce,1,0.0,1,0.6,0.4119511369580602,4,1,0
ecom_00015,ecommerce,1,0.1475409836065573,1,0.6,0.6036801132342533,4,0,0
ecom_00016,ecommerce,1,0.1475409836065573,1,0.6,0.3714883534877995,3,1,0
ecom_00017,ecommerce,1,0.0,0,0.6,0.3977353149327671,4,1,0
ecom_00018,ecommerce,1,0.0,1,0.4,0.4844456752515462,4,1,0
ecom_00019,ecommerce,1,0.0,1,0.6,0.4945998338410413,5,1,0
ecom_00020,ecommerce,1,0.3114754098360656,0,0.6,0.4604141665897412,3,1,0
ecom_00021,ecommerce,1,0.0,1,0.6,0.4976153112403458,5,1,0
ecom_00022,ecommerce,1,0.3278688524590163,0,0.6,0.625003846272193,3,0,0
ecom_00023,ecommerce,1,0.1475409836065573,1,0.4,0.3592418228253177,3,1,0
ecom_00024,ecommerce,1,0.0,0,0.6,0.4479830148619957,5,1,0
ecom_00025,ecommerce,1,0.2295081967213114,1,0.4,0.6354041662820394,5,0,0
ecom_00026,ecommerce,1,0.0,0,0.4,0.4369365211237269,3,0,0
ecom_00027,ecommerce,0,0.1311475409836065,1,0.6,0.5321702206221729,3,0,1
ecom_00028,ecommerce,0,0.1475409836065573,1,0.4,0.378657804855534,3,1,1
ecom_00029,ecommerce,0,0.2950819672131147,1,0.4,0.3799501523123788,3,0,1
ecom_00030,ecommerce,0,0.081967213114754,0,0.4,0.5845718329794762,3,0,1
ecom_00031,ecommerce,0,0.0327868852459016,1,0.4,0.4405981722514538,3,0,1
ecom_00032,ecommerce,0,0.0,1,0.4,0.4963845041385888,4,0,1
ecom_00033,ecommerce,0,0.4918032786885246,0,0.6,0.4106587895012154,4,1,1
ecom_00034,ecommerce,0,0.2131147540983606,1,0.6,0.6417120526785439,4,0,1
ecom_00035,ecommerce,0,0.1475409836065573,0,0.6,0.3763500415397396,3,0,1
ecom_00036,ecommerce,0,0.0,1,0.6,0.3791808978737807,3,0,1
ecom_00037,ecommerce,0,0.1475409836065573,1,0.4,0.3699806147881473,3,0,1
