customer_ref,source_industry,tenure,gender,engagement_score,monetary_value,product_or_service_count,support_friction,is_active,churn,tenure_score
ecom_50001,ecommerce,4.0,female,0.37875,0.4921074494599834,1.0,1,1,1,0.06557377049180328
ecom_50002,ecommerce,9.0,male,0.43875,0.37201144650604634,1.0,1,1,1,0.14754098360655737
ecom_50003,ecommerce,9.0,male,0.35875,0.370103695498323,1.0,1,1,1,0.14754098360655737
ecom_50004,ecommerce,0.0,male,0.35875,0.41253577033139477,1.0,0,1,1,0.0
ecom_50005,ecommerce,0.0,male,0.13874999999999998,0.39878150096926057,1.0,0,1,1,0.0
ecom_50006,ecommerce,0.0,female,0.5925,0.4282901012338841,6.0,1,1,1,0.0
ecom_50007,ecommerce,9.0,male,0.29875,0.3718883657958707,1.0,0,1,1,0.14754098360655737
ecom_50008,ecommerce,9.0,male,0.39749999999999996,0.378257792547463,2.0,1,1,1,0.14754098360655737
ecom_50009,ecommerce,13.0,male,0.19874999999999998,0.39025816178959355,1.0,1,1,1,0.21311475409836064
ecom_50010,ecommerce,9.0,male,0.41875,0.378257792547463,1.0,0,1,1,0.14754098360655737
ecom_50011,ecommerce,4.0,female,0.56125,0.9091048955352472,15.0,0,1,1,0.06557377049180328
ecom_50012,ecommerce,11.0,male,0.43875,0.4732761008031016,1.0,1,1,1,0.18032786885245902
ecom_50013,ecommerce,0.0,male,0.3175,0.41358195636788825,2.0,1,1,1,0.0
ecom_50014,ecommerce,0.0,male,0.43875,0.41195113695806024,1.0,1,1,1,0.0
ecom_50015,ecommerce,9.0,male,0.495,0.6036801132342533,4.0,0,1,1,0.14754098360655737
ecom_50016,ecommerce,9.0,male,0.37875,0.37148835348779957,1.0,1,1,1,0.14754098360655737
ecom_50017,ecommerce,0.0,female,0.19874999999999998,0.39773531493276715,1.0,1,1,1,0.0
ecom_50018,ecommerce,0.0,male,0.35875,0.4844456752515462,1.0,1,1,1,0.0
ecom_50019,ecommerce,0.0,male,0.49874999999999997,0.4945998338410413,1.0,1,1,1,0.0
ecom_50020,ecommerce,19.0,female,0.435,0.4604141665897412,4.0,1,1,1,0.3114754098360656
ecom_50021,ecommerce,0.0,male,0.61125,0.49761531124034586,7.0,1,1,1,0.0
ecom_50022,ecommerce,20.0,female,0.64125,0.625003846272193,15.0,0,1,1,0.32786885245901637
ecom_50023,ecommerce,9.0,male,0.29875,0.3592418228253177,1.0,1,1,1,0.14754098360655737
ecom_50024,ecommerce,0.0,female,0.5175,0.44798301486199577,2.0,1,1,1,0.0
ecom_50025,ecommerce,14.0,male,0.41875,0.6354041662820394,1.0,0,1,1,0.22950819672131148
ecom_50026,ecommerce,0.0,female,0.29875,0.4369365211237269,1.0,0,1,1,0.0
ecom_50027,ecommerce,8.0,male,0.37875,0.5321702206221729,1.0,0,1,0,0.13114754098360656
ecom_50028,ecommerce,9.0,male,0.35500000000000004,0.378657804855534,4.0,1,1,0,0.14754098360655737
ecom_50029,ecommerce,18.0,male,0.29875,0.3799501523123788,1.0,0,1,0,0.29508196721311475
ecom_50030,ecommerce,5.0,female,0.33625000000000005,0.5845718329794762,3.0,0,1,0,0.08196721311475409
ecom_50031,ecommerce,2.0,male,0.29875,0.44059817225145387,1.0,0,1,0,0.03278688524590164
